dept,courseNumber,courseType,numberOfMeetings,meetingLengthHours,isTba,numberEnrolled,cantOverlap,shouldntOverlap,dataNumber,timeMinPweek
MS&E,MS&E 140,LEC,2,2,FALSE,37,,,387,50
MS&E,MS&E 152,LEC,2,1.5,FALSE,128,,,388,50
MS&E,MS&E 178,LEC,2,1,FALSE,44,,,389,50
MS&E,MS&E 182B,,3,2,FALSE,0,,,390,50
MS&E,MS&E 184,LEC,2,2,FALSE,67,,,391,50
MS&E,MS&E 190,LEC,2,1.5,FALSE,25,,,392,50
MATSCI,MATSCI 81N,ISF,2,1.5,FALSE,8,,,393,50
MATSCI,MATSCI 90Q,ISS,2,1.5,FALSE,19,,,394,50
MATSCI,MATSCI 142,LEC,3,1,FALSE,22,,,395,50
MATSCI,MATSCI 144,LEC,2,1.5,FALSE,27,,,396,50
MATSCI,MATSCI 160,LAB,1,1.5,FALSE,9,,,397,50
MATSCI,MATSCI 190,LEC,2,1.5,FALSE,4,,,398,50
MATSCI,MATSCI 197,,2,1.5,FALSE,0,,,399,50
MATSCI,MATSCI 197,,1,1.5,FALSE,0,399,,400,50
MATSCI,MATSCI 198,LEC,2,1.5,FALSE,2,,,401,50
MATSCI,MATSCI 199,,2,1.5,FALSE,0,,,402,50
ME,ME 2,LAB,1,1,FALSE,9,,,403,50
ME,ME 70,LEC,2,1.5,FALSE,69,,,404,50
ME,ME 80,LEC,2,1.5,FALSE,80,,404,405,50
ME,ME 101,LEC,2,2,FALSE,26,,,406,50
ME,ME 102,LAB,2,1.5,FALSE,60,406,,407,50
ME,ME 103,LEC,2,3,FALSE,12,,,408,50
ME,ME 104,LEC,3,2,FALSE,90,,,409,50
ME,ME 104B,SEM,1,2,FALSE,47,409,,410,50
ME,ME 104S,SEM,1,2,FALSE,4,409,,411,50
ME,ME 110,PRC,1,2.5,FALSE,22,,,412,50
ME,ME 110,PRC,1,2.5,FALSE,11,,,413,50
ME,ME 115C,LEC,2,1.5,FALSE,52,,,414,50
ME,ME 120,LEC,3,1,FALSE,88,,,415,50
ME,ME 123,LEC,2,1.5,FALSE,20,,,416,50
ME,ME 127,LEC,2,1.5,FALSE,37,,,417,50
ME,ME 128,LEC,1,1.5,FALSE,7,,,418,50
ME,ME 133,LEC,3,1,FALSE,7,,,419,50
ME,ME 152,LEC,2,1.5,FALSE,25,,,420,50
